,label,annotation
3840,equivalent,
7014,non-equivalent,
2209,equivalent,
5033,non-equivalent,very likely equivalent. there may be a languages were upper case leads to different results than lower case. need to check.
4534,equivalent,
6799,equivalent,
7964,equivalent,
4620,equivalent,
4308,non-equivalent,"see above, likely depends on charset"
4339,equivalent,
3934,equivalent,
1714,non-equivalent,
3110,equivalent,
10027,equivalent,
4983,equivalent,
7272,equivalent,
2251,equivalent,
3087,equivalent,
10077,equivalent,
4161,equivalent,
4319,equivalent,
451,equivalent,
10153,equivalent,
3280,equivalent,
12008,equivalent,
6886,equivalent,
4745,equivalent,
2237,equivalent,
4205,equivalent,
4500,non-equivalent,this should not even compile
9977,non-equivalent,"see above, depends on charset?"
4317,equivalent,
12176,non-equivalent,
11738,non-equivalent,"see above, might depend on charset"
4537,equivalent,
8241,non-equivalent,
3853,equivalent,
3214,equivalent,
11372,equivalent,
4120,equivalent,
8769,equivalent,
10132,equivalent,
6955,equivalent,
6753,equivalent,
7037,equivalent,
6861,equivalent,
4352,equivalent,
11651,non-equivalent,
3966,equivalent,
4125,equivalent,
4081,non-equivalent,
6967,equivalent,
4439,equivalent,
8104,equivalent,
3822,equivalent,
5969,non-equivalent,
4445,non-equivalent,
3647,non-equivalent,
4266,non-equivalent,"depends on charsets, see above"
6815,equivalent,
3722,non-equivalent,
3685,equivalent,
3618,equivalent,
7004,equivalent,
