mutant_id,equivalent,label,annotation
11587,False,Replace arithmetic operator,
11482,False,Replace variable,
11681,False,Replace literal value (boolean),
4791,False,Delete statement (method call),
6588,False,Other,Delete unary operator (numeric negation)
6628,False,Replace arithmetic operator,
7128,False,Replace arithmetic operator,
6968,False,Replace conditional operator (negation),
2610,False,Replace arithmetic operator,
9824,False,Insert literal (numeric),
3840,True,Insert masking,
12249,False,Other,Replace method call with other method (2nd order)
1337,False,Other,Delete condition from logical expression
4265,False,Replace literal value (boolean),
12417,False,Replace method call with other method,
7014,True,Replace conditional operator (boundary),
9670,False,Replace conditional operator (negation),
11121,False,Replace conditional operator (boundary),
876,False,Insert literal (numeric),
2209,True,Replace == with equals,
5033,True,Replace conditional operator (negation),
12215,False,Other,Delete condition from logical expression
4447,False,Insert literal (numeric),
4220,False,Higher-order: Delete conditional behavior,
12075,False,Delete statement (control flow),
4534,True,Replace method call with literal,
7215,False,Replace method call with other method,
3616,False,Replace conditional operator (negation),
189,False,Replace arithmetic operator (2nd order),
7158,False,Replace conditional operator (negation),
6641,False,Replace conditional operator (boundary),
1352,False,Higher-order: Insert conditional behavior,
4676,False,Delete statement (method call),
6799,True,Replace conditional operator (boundary),
7008,False,Other,Delete unary operator (numeric negation)
7013,False,Replace variable (2nd order),
6821,False,Replace arithmetic operator,
11684,False,Delete terms from arithmetic expression,
3705,False,Insert literal (numeric),
2667,False,Higher-order: Delete conditional behavior,
7964,True,Insert concatenation with empty string,
4620,True,Higher-order: Insert conditional behavior,
11731,False,Delete statement (method call),
3531,False,Insert bit shift,
6783,False,"Higher-order: Replace Replace pre-increment/decrement with post-increment/decrement, Replace conditional operator (boundary)",
7918,False,Delete statement (method call),
4918,False,Higher-order: Insert conditional behavior,
11342,False,Replace conditional operator (negation),
4308,True,"Higher-order: Replace conditional operator (negation), Insert conditional behavior",
4452,False,Replace method call with other method,
4339,True,Other,Replace jump statement
3934,True,Insert method call,
1714,True,Replace variable,
11974,False,Empty diff,
3110,True,Replace bit shift operator,
11491,False,Delete terms from arithmetic expression,
6941,False,Replace conditional operator (negation),
12148,False,Delete statement (method call),
10027,True,Higher-order: Insert conditional behavior,
11326,False,Replace conditional operator (boundary),
11934,False,Replace literal value (boolean),
11652,False,Replace literal value (boolean),
6685,False,Replace arithmetic operator,
12513,False,Other,Delete unary operator (numeric negation)
10316,False,Other,Replace literal value (numeric)
4983,True,Other,Insert comments
7272,True,Other,Higher-order: Replace conditional return of boolean literal with return of boolean expression
11993,False,Other,Replace conditional operator (and/or)
4661,False,Replace arithmetic operator,
8661,False,Replace conditional operator (negation),
8025,False,Delete statement (method call),
3018,False,Insert masking,
12428,False,Higher-order: Insert conditional behavior,
12197,False,Empty diff,
5923,False,Insert literal (numeric),
8502,False,Insert literal (numeric),
1049,False,Other,Insert method call
4453,False,Other,Replace literal value (string)
3543,False,Replace conditional operator (boundary),
2251,True,Replace == with equals,
12206,False,Other,Replace literal value (numeric)
6849,False,Other,"Replace conditional operator (boundary, 2nd order)"
3087,True,Insert masking,
8804,False,Other,Insert comments
10070,False,Higher-order: Delete conditional behavior,
12144,False,Empty diff,
2591,False,Other,Replace literal value (numeric)
10077,True,Other,Insert comments
11202,False,Replace conditional operator (boundary),
4668,False,Replace arithmetic operator,
1972,False,Replace arithmetic operator,
3990,False,Other,"Higher-order: Replace o.equals(other) with other.equals(o), Insert condition into logical expression"
